address,city,state,zip,price,beds,baths,sqft,equity_pct,lat,lng,tags,property_type,year_built,lot_size,price_per_sqft,days_on_market,image,status,sold_date,sold_price,owner_name,owner_mailing_address,owner_mailing_city,owner_mailing_state,owner_mailing_zip,owner_occupied,vacant,ownership_months,county,apn
123 Ocean Drive,Miami Beach,FL,33139,2450000,5,4.5,3800,42,25.7826,-80.1341,"{absentee,highEquity}",house,2018,8500,645,12,,active,,,John Smith,456 Park Ave,New York,NY,10022,false,false,36,Miami-Dade,
456 Collins Avenue,Miami Beach,FL,33140,1850000,4,3.5,2900,55,25.8156,-80.1225,"{highEquity}",condo,2020,0,638,8,,active,,,Maria Garcia,456 Collins Avenue,Miami Beach,FL,33140,true,false,24,Miami-Dade,
789 Brickell Key Drive,Miami,FL,33131,3200000,4,4,4200,38,25.7650,-80.1867,"{absentee}",condo,2019,0,762,5,,active,,,Investment LLC,100 Wall St,New York,NY,10005,false,false,18,Miami-Dade,
321 Coral Way,Miami,FL,33145,875000,3,2,1800,68,25.7515,-80.2209,"{highEquity,vacant}",house,1965,6200,486,45,,active,,,Robert Johnson,321 Coral Way,Miami,FL,33145,true,true,120,Miami-Dade,
555 South Beach Blvd,Miami Beach,FL,33139,1650000,3,2.5,2200,48,25.7789,-80.1302,"{absentee}",townhouse,2015,2800,750,18,,active,,,Sarah Williams,789 Michigan Ave,Chicago,IL,60611,false,false,42,Miami-Dade,
888 Venetian Way,Miami Beach,FL,33139,4500000,6,5,5200,35,25.7912,-80.1456,"{absentee,highEquity}",house,2021,12000,865,6,,active,,,Tech Ventures Inc,1 Infinite Loop,Cupertino,CA,95014,false,false,12,Miami-Dade,
1200 Biscayne Blvd,Miami,FL,33132,725000,2,2,1400,52,25.7891,-80.1878,"{highEquity}",condo,2017,0,518,22,,active,,,Michael Chen,1200 Biscayne Blvd,Miami,FL,33132,true,false,36,Miami-Dade,
901 Bay Road,Miami Beach,FL,33139,2100000,4,3,2800,45,25.7845,-80.1389,"{absentee}",house,2016,7500,750,15,,active,,,Jennifer Lee,555 Madison Ave,New York,NY,10022,false,false,28,Miami-Dade,
234 Espanola Way,Miami Beach,FL,33139,1350000,3,2.5,1900,58,25.7867,-80.1334,"{highEquity}",townhouse,2012,2200,711,28,,active,,,David Martinez,234 Espanola Way,Miami Beach,FL,33139,true,false,60,Miami-Dade,
567 Alton Road,Miami Beach,FL,33139,980000,2,2,1550,62,25.7723,-80.1401,"{highEquity,vacant}",condo,2014,0,632,35,,active,,,Empty Nest LLC,PO Box 1234,Miami,FL,33101,false,true,48,Miami-Dade,
